,Al,Cu,Ni,Pt,Mn,BM_pred
522240,0.16,0.02,0.79,0.01,0.019999999999999914,162.42335793036597
522239,0.16,0.02,0.78,0.02,0.019999999999999924,162.4200688582671
520670,0.16,0.01,0.8,0.01,0.019999999999999914,162.41114061770207
520669,0.16,0.01,0.79,0.02,0.019999999999999924,162.40785154560317
492672,0.15000000000000002,0.02,0.8,0.01,0.019999999999999914,162.40196530589793
492671,0.15000000000000002,0.02,0.79,0.02,0.019999999999999924,162.39867623379902
491076,0.15000000000000002,0.01,0.81,0.01,0.019999999999999914,162.3725927611474
491075,0.15000000000000002,0.01,0.8,0.02,0.019999999999999924,162.36930368904848
522237,0.16,0.02,0.77,0.03,0.019999999999999934,162.18782613722075
520667,0.16,0.01,0.78,0.03,0.019999999999999934,162.17560882455683
